title,category,organization,d_day,deadline,status,url,source,collected_at
제10회 소비자지향성 개선과제 공모전,"분야 : 기획/아이디어, 광고/마케팅, 논문/리포트, 예체능/미술/음악, 기타",공정거래위원회,1,2026-06-15,마감임박,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=105362,위비티,2026-06-14
밀슐랭 서포터즈 2기 모집,분야 : 대외활동/서포터즈,(주)그레이스클럽,2,2026-06-16,마감임박,https://www.wevity.com/?c=find&s=1&gbn=view&gp=3&ix=108209,위비티,2026-06-14
2026년 KB Dream Wave 2030 KB라스쿨 중등 ４기 멘토링 멘토 모집,"분야 : 광고/마케팅, 예체능/미술/음악, 대외활동/서포터즈, 봉사활동, 취업/창업",KB국민은행,3,2026-06-17,마감임박,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=107939,위비티,2026-06-14
김건 의원실(국민의힘/비례대표) 제1기 명예보좌관 모집,분야 : 대외활동/서포터즈,김건의원실,5,2026-06-19,마감임박,https://www.wevity.com/?c=find&s=1&gbn=view&gp=2&ix=108276,위비티,2026-06-14
2026 농생명기반 청년예술인 활동지원사업 k-풍류마을 참여예술인 모집,분야 : 예체능/미술/음악,모루협동조합,5,2026-06-19,마감임박,https://www.wevity.com/?c=find&s=1&gbn=view&gp=2&ix=108239,위비티,2026-06-14
2026년 동부 브랜드 대표상점 발굴 및 로컬큐레이터 2기 모집,분야 : 기타,경기콘텐츠진흥원,8,2026-06-22,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=3&ix=108227,위비티,2026-06-14
2026 관광 일자리 페스타 – 참여인턴 사전모집,분야 : 취업/창업,문화체육관광부,9,2026-06-23,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=3&ix=108234,위비티,2026-06-14
광주ㆍ전남 통합 관광브랜드 슬로건 공모전,분야 : 네이밍/슬로건,광주광역시 관광공사,10,2026-06-24,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=3&ix=108215,위비티,2026-06-14
2026 부산광역시 공공데이터•AI 활용 창업경진대회,"분야 : 기획/아이디어, 광고/마케팅, 웹/모바일/IT, 게임/소프트웨어, 과학/공학, 취업/창업",부산광역시,11,2026-06-25,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=107424,위비티,2026-06-14
2026 국방창업경진대회,분야 : 취업/창업,대한민국 국방부,12,2026-06-26,접수예정,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=108279,위비티,2026-06-14
광명 시민의 노래 시민 참여 가사공모전,분야 : 예체능/미술/음악,광명시,12,2026-06-26,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=3&ix=108218,위비티,2026-06-14
2026 동아시아협력포럼 서포터즈 모집,분야 : 대외활동/서포터즈,대한민국 외교부,12,2026-06-26,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=2&ix=108275,위비티,2026-06-14
제4회 문화체육관광 인공지능·데이터 활용 공모전,"분야 : 기획/아이디어, 논문/리포트, 웹/모바일/IT, 게임/소프트웨어, 과학/공학, 대외활동/서포터즈",문화체육관광부,12,2026-06-26,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=106965,위비티,2026-06-14
2026년 상반기 삼성생명 금융캠퍼스 모집,"분야 : 기획/아이디어, 광고/마케팅, 대외활동/서포터즈, 취업/창업, 기타",삼성생명,12,2026-06-26,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=108256,위비티,2026-06-14
[무료] 2026년 7월 삼성생명 Special 금융아카데미 모집,"분야 : 기획/아이디어, 광고/마케팅, 대외활동/서포터즈, 취업/창업, 기타",삼성생명,12,2026-06-26,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=107932,위비티,2026-06-14
2026 오픈갤러리 장학생 모집,분야 : 예체능/미술/음악,오픈갤러리,14,2026-06-28,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=2&ix=108265,위비티,2026-06-14
[인천TP디자인지원센터] 2026 인천디자인서포터즈 16기 모집,분야 : 대외활동/서포터즈,인천광역시,14,2026-06-28,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=3&ix=108221,위비티,2026-06-14
2026년도 제31회 경기도 건축문화상 공모전 (계획작품 부문 / 사용승인 건축물 부문),"분야 : 논문/리포트, 디자인/캐릭터/웹툰, 과학/공학, 건축/건설/인테리어, 예체능/미술/음악",경기건축문화제 추진위원회,15,2026-06-29,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=105948,위비티,2026-06-14
제주 바이오 AX 해커톤: AI로 설계하는 제주 바이오의 미래 참가팀 모집,분야 : 웹/모바일/IT,"제주테크노파크, 제주산학융합원",16,2026-06-30,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=2&ix=108247,위비티,2026-06-14
2026 강원 콘텐츠 페스타 - 강원 중·고교 e-스포츠 대항전,분야 : 게임/소프트웨어,문화체육관광부 / 한국콘텐츠진흥원 / 강원특별자치도,16,2026-06-30,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=2&ix=108263,위비티,2026-06-14
2026 쉬운 우리말 쓰기 영상 제작 공모전,"분야 : 광고/마케팅, 영상/UCC/사진, 웹/모바일/IT, 문학/글/시나리오, 예체능/미술/음악",국어문화원연합회,16,2026-06-30,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=107977,위비티,2026-06-14
서울 디자인 AI 영상 공모전,"분야 : 광고/마케팅, 영상/UCC/사진, 웹/모바일/IT, 게임/소프트웨어, 예체능/미술/음악",서울특별시,16,2026-06-30,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=107650,위비티,2026-06-14
게임 테스트 플랫폼 플리더스 글로벌 서포터즈 1기 모집,분야 : 대외활동/서포터즈,(주)플리더스,17,2026-07-01,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=2&ix=108270,위비티,2026-06-14
2026년 미디어 온라인 홍보단 4기 모집,분야 : 대외활동/서포터즈,한국방송광고진흥공사,17,2026-07-01,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=2&ix=108244,위비티,2026-06-14
2026 동남권 정보보호 사이버공방전 (SECTOR) 참가자 모집,분야 : 게임/소프트웨어,경상남도,19,2026-07-03,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=3&ix=108224,위비티,2026-06-14
2026 대구 중구 도시재생 청년 서포터즈 8기 모집,분야 : 대외활동/서포터즈,대구광역시 중구,19,2026-07-03,접수예정,https://www.wevity.com/?c=find&s=1&gbn=view&gp=2&ix=108274,위비티,2026-06-14
2027 하랑갤러리 작가공모,분야 : 예체능/미술/음악,하랑갤러리,20,2026-07-04,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=2&ix=108261,위비티,2026-06-14
제7회 계룡장학재단 건축 아이디어 공모전,"분야 : 기획/아이디어, 논문/리포트, 건축/건설/인테리어, 예체능/미술/음악",계룡장학재단,21,2026-07-05,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=107651,위비티,2026-06-14
[SCPC2026] 제12회 삼성전자 대학생 프로그래밍 챌린지,분야 : 게임/소프트웨어,삼성전자,21,2026-07-05,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=3&ix=108225,위비티,2026-06-14
제3회 김천김밥쿡킹대회,분야 : 예체능/미술/음악,김천시,26,2026-07-10,접수예정,https://www.wevity.com/?c=find&s=1&gbn=view&gp=3&ix=108235,위비티,2026-06-14
2026년 제31회 부산국제영화제 자원봉사자 모집,분야 : 봉사활동,부산국제영화제,28,2026-07-12,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=2&ix=108252,위비티,2026-06-14
건국대 모빌리티인문학 연구원 인문교양센터 서평 공모전,분야 : 문학/글/시나리오,건국대학교 모빌리티인문학 연구원,28,2026-07-12,접수예정,https://www.wevity.com/?c=find&s=1&gbn=view&gp=3&ix=108208,위비티,2026-06-14
제28회 전국청소년자원봉사대회,분야 : 봉사활동,"KB라이프생명사회공헌재단, 한국중등교장협의회",29,2026-07-13,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=108277,위비티,2026-06-14
2026 관광지식정보시스템 관광데이터 분석 포스터 공모전,분야 : 논문/리포트,한국문화관광연구원,29,2026-07-13,접수예정,https://www.wevity.com/?c=find&s=1&gbn=view&gp=2&ix=108242,위비티,2026-06-14
공항 네트워크 혁신 아이디어 공모전,분야 : 기획/아이디어,한국공항공사,30,2026-07-14,접수예정,https://www.wevity.com/?c=find&s=1&gbn=view&gp=3&ix=108213,위비티,2026-06-14
2026년 전주MBC K-하이테크 플랫폼 제2회 가상현실 공간 창작 공모전,"분야 : 기획/아이디어, 영상/UCC/사진, 웹/모바일/IT, 게임/소프트웨어, 과학/공학, 건축/건설/인테리어, 기타",전주MBC K-하이테크 플랫폼,30,2026-07-14,접수예정,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=106656,위비티,2026-06-14
